Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),1_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE2:Zone Air Temperature [C](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly) 
 01/03  07:00:00,3.025,21.07854071373852,21.272085148612569,21.10447371723786,1.677523072215342,0.8424551136717723,1.545302406191509,0.5946658566770235,1.646065977082377,0.7771369616404167 
 01/03  08:00:00,2.841666666666667,21.98904392570148,22.000597906048485,22.000461240053054,1.6046284052735614,0.6852059168829204,1.3078360735239243,0.38440191448404456,1.4404894494308112,0.5023967326513106 
 01/03  09:00:00,3.033333333333333,22.000914632242386,22.00058068724813,22.000464668491035,1.46135480748692,0.5035274181257147,1.1566545969254228,0.3024412354325438,1.3162534206278383,0.40190285894379648 
 01/03  10:00:00,3.9,22.002276592304797,22.000754793932459,22.00056358968963,1.3679783288904076,0.4185099329332776,1.0826292871836878,0.2651092988316971,1.2279240719739007,0.3416905538760771 
 01/03  11:00:00,5.391666666666667,22.003249168399774,22.00087253492136,22.0006180012416,1.8692603893041214,0.2897174765736052,1.7537444772123896,0.25,1.8048837178349564,0.2671193329602553 
 01/03  12:00:00,7.208333333333333,22.00439652092167,22.000955196548494,22.000659621526724,2.208351501286751,0.25,2.177922271372442,0.25,2.18178414262149,0.25 
 01/03  13:00:00,9.049999999999999,22.004836027869275,22.001122475337785,22.000754186979099,2.3262786223284874,0.25,2.3030579090370746,0.25,2.294134118526021,0.25 
 01/03  14:00:00,10.5,22.00346008859599,22.000931506879796,22.00064590557984,2.3453771664789939,0.25,2.350515543447927,0.25,2.336196778876396,0.25 
 01/03  15:00:00,11.233333333333335,22.00277747335871,22.000943401590435,22.000685270212988,2.3543595095988656,0.25,2.3782342844179196,0.25,2.358411574265984,0.25 
 01/03  16:00:00,11.341666666666669,22.002659497876633,22.00099026253298,22.00086195056763,2.3536375213115625,0.25,2.3890368420376055,0.25,2.3806507493021078,0.25 
